SimulationId,sec
static investment,"1422.31"
"rank","vol it_1","vol it_2","vol it_3","vol it_4","vol it_5","vol it_6","vol it_7","vol it_8","vol it_9","vol it_10",
"1","222.20","222.20","219.65","221.58","162.97","169.10","190.85","190.94","203.33","152.70",
"2","186.59","213.10","213.10","219.65","134.27","165.02","165.02","165.02","161.61","144.49",
"3","157.03","202.75","186.59","186.59","131.39","139.67","149.17","161.61","158.24","144.26",
"4","134.27","186.59","160.38","160.38","128.66","128.42","141.82","149.17","155.85","142.19",
"5","131.39","160.38","151.92","155.66","128.42","128.09","131.63","147.79","155.72","140.30",
"6","129.07","134.27","134.92","135.76","127.49","127.49","130.21","144.86","141.11","137.66",
"7","129.01","129.33","134.27","128.09","126.45","125.17","128.42","141.11","140.30","135.04",
"8","128.42","125.80","132.91","123.67","123.67","124.83","127.49","128.42","139.27","128.51",
"9","125.80","123.52","123.67","121.98","120.83","121.99","126.45","125.80","138.08","118.38",
"10","121.66","119.90","120.83","115.61","120.71","120.75","125.80","124.83","134.27","116.81",
"11","116.67","118.34","113.54","113.54","118.77","119.46","125.17","120.18","126.88","115.52",
"12","113.54","113.54","109.04","107.49","114.56","116.37","124.83","115.67","125.80","110.67",
"13","113.43","112.33","106.50","105.77","113.54","114.19","121.99","110.76","124.83","108.24",
"14","112.33","108.44","105.77","95.59","109.02","112.90","105.57","100.51","123.82","105.17",
"15","110.85","108.35","100.98","94.39","107.49","107.43","98.41","96.93","113.60","100.98",
"16","108.35","105.77","90.13","90.13","106.03","106.58","98.37","95.74","113.55","97.02",
"17","106.50","104.09","82.60","87.00","99.74","106.03","95.66","93.28","110.76","90.83",
"18","102.50","100.98","81.77","82.21","97.23","105.12","95.11","90.59","100.58","90.14",
"19","95.59","92.32","78.79","75.50","95.81","100.67","90.47","89.50","97.02","88.84",
"20","94.02","84.98","76.12","75.43","95.59","99.74","86.28","87.00","93.85","88.51",
"21","84.98","78.45","75.54","74.24","95.59","95.66","84.69","85.02","93.46","83.53",
"22","78.08","76.12","74.24","74.20","95.11","95.11","75.90","82.76","93.43","78.46",
"23","75.54","74.15","69.24","73.78","82.85","94.90","75.50","81.72","90.14","74.88",
"24","75.15","70.55","68.23","69.24","79.31","86.28","68.39","81.56","89.50","69.79",
"25","71.33","67.58","66.62","68.51","79.09","82.85","67.40","79.36","88.51","69.78",
"26","70.55","66.49","66.49","66.62","73.78","81.26","65.72","79.34","85.02","69.53",
"27","66.75","65.91","65.85","66.49","69.24","79.09","65.25","74.15","83.53","68.68",
"28","66.49","65.85","58.31","65.58","68.74","75.90","64.44","73.42","81.49","68.39",
"29","64.56","64.56","58.21","64.87","67.65","74.64","60.73","68.39","81.38","68.37",
"30","59.04","58.68","58.08","61.62","67.40","67.40","59.26","68.38","78.46","66.33",
"31","58.08","58.31","57.53","58.31","66.62","65.72","56.43","67.40","74.15","65.71",
"32","54.08","58.08","53.71","58.21","65.72","60.39","55.72","66.33","68.68","64.03",
"33","49.70","54.79","51.62","56.62","63.62","60.08","55.54","63.09","68.39","58.66",
"34","48.72","51.97","49.70","56.00","60.49","57.92","55.51","60.73","67.40","53.82",
"35","47.86","49.70","49.70","53.45","59.75","56.62","53.45","59.72","66.33","51.29",
"36","46.11","46.11","48.72","52.95","59.55","56.16","50.42","59.66","65.71","51.08",
"37","45.05","45.05","48.70","49.70","56.62","55.54","46.81","56.56","64.54","45.91",
"38","43.29","43.29","48.29","48.72","55.54","54.32","46.11","55.72","64.16","45.14",
"39","39.13","39.90","47.47","48.70","53.83","53.45","45.70","55.51","63.03","43.27",
"40","26.46","35.86","46.96","48.29","53.45","50.42","42.18","50.42","56.56","40.13",
"41","25.46","35.60","46.11","46.96","48.72","48.17","42.08","50.42","52.10","37.01",
"42","21.23","34.28","44.76","46.11","46.96","46.11","41.96","46.81","51.15","36.99",
"43","20.53","29.49","41.23","45.89","46.44","42.78","41.56","46.44","51.08","34.96",
"44","18.59","28.51","40.00","42.98","46.11","41.56","39.52","45.61","50.42","34.23",
"45","14.15","28.42","35.39","42.62","42.98","40.50","35.61","42.18","45.35","30.73",
"46","12.65","25.43","34.28","41.67","42.78","39.28","33.62","40.10","43.36","30.36",
"47","12.05","21.23","25.43","41.23","42.62","35.61","33.45","39.52","42.18","30.35",
"48","8.13","20.12","24.92","41.01","40.80","34.88","32.11","38.78","39.52","29.98",
"49","7.84","20.05","22.33","39.69","40.50","32.05","31.20","37.20","34.23","28.86",
"50","2.63","16.50","21.87","37.86","37.86","31.49","30.60","33.56","30.36","26.33",
"51","1.98","14.96","21.23","36.33","37.14","27.43","30.36","30.60","30.35","23.05",
"52","0.93","14.15","16.85","35.39","36.95","26.60","29.31","30.36","30.08","22.88",
"53","0.15","13.70","16.50","35.33","35.39","26.28","28.21","30.34","26.93","22.86",
"54","-2.04","12.05","14.47","28.07","35.08","26.26","26.60","26.26","26.33","21.25",
"55","-2.28","8.41","14.05","27.43","32.89","26.03","26.28","23.86","23.91","15.65",
"56","-2.54","7.84","13.70","22.71","32.05","22.43","23.86","23.61","23.17","15.48",
"57","-3.22","7.47","13.56","22.33","28.83","19.79","22.55","19.79","22.86","14.98",
"58","-4.09","6.58","12.05","16.85","28.07","18.37","21.33","15.21","21.25","13.51",
"59","-5.08","4.79","8.97","16.50","26.43","17.96","19.84","14.98","15.65","9.39",
"60","-6.34","2.90","8.25","14.47","26.28","17.54","19.79","11.09","14.98","8.90",
"61","-6.37","1.98","7.98","14.05","25.13","16.93","18.08","11.09","13.51","8.48",
"62","-12.18","1.17","7.47","13.70","22.33","16.03","17.96","10.73","12.73","8.45",
"63","-14.57","0.15","6.23","12.05","21.95","15.21","15.21","9.92","10.89","7.23",
"64","-14.71","0.08","3.39","10.66","21.49","14.14","14.05","5.79","5.52","5.52",
"65","-15.16","0.08","0.08","3.39","19.51","14.05","12.29","5.18","5.18","5.18",
"66","-15.20","0.08","0.08","0.08","17.96","12.86","11.96","4.14","5.16","3.65",
"67","-15.56","-2.28","0.08","0.08","17.59","11.56","11.09","1.42","3.65","3.65",
"68","-16.61","-2.38","0.08","0.08","16.93","10.74","10.74","0.90","2.45","3.58",
"69","-18.34","-5.45","0.08","0.08","16.85","10.52","10.13","0.08","1.82","0.57",
"70","-18.68","-6.53","0.08","0.08","16.35","10.13","10.06","0.08","0.90","0.08",
"71","-19.65","-7.61","-0.22","0.08","16.03","8.92","9.71","0.08","0.77","0.08",
"72","-20.39","-7.61","-1.93","0.08","14.47","8.41","9.09","0.08","0.13","0.08",
"73","-20.99","-9.02","-4.26","0.08","14.05","3.62","1.83","0.08","0.08","0.08",
"74","-21.06","-11.44","-4.67","0.08","12.02","2.54","0.90","0.08","0.08","0.08",
"75","-21.61","-15.16","-6.15","0.08","11.56","0.08","0.08","0.08","0.08","0.08",
"76","-22.05","-15.16","-6.53","0.08","6.80","0.08","0.08","0.08","0.08","0.08",
"77","-22.07","-15.20","-11.71","-0.22","6.00","0.08","0.08","0.08","0.08","0.08",
"78","-22.80","-18.20","-14.21","-1.44","2.54","0.08","0.08","0.08","0.08","0.08",
"79","-23.89","-18.68","-15.05","-2.04","2.32","0.08","0.08","0.08","0.08","0.08",
"80","-26.39","-18.78","-15.16","-5.27","0.08","0.08","0.08","0.08","0.08","0.08",
"81","-26.83","-19.63","-15.81","-6.13","0.08","0.08","0.08","0.08","0.08","0.08",
"82","-27.53","-20.39","-16.61","-6.15","0.08","0.08","0.08","0.08","0.08","0.08",
"83","-27.66","-21.66","-18.20","-7.45","0.08","0.08","0.08","0.08","0.08","0.08",
"84","-27.89","-22.47","-19.63","-8.70","0.08","0.08","0.08","0.08","0.08","0.08",
"85","-28.68","-22.47","-19.65","-10.13","0.08","0.08","0.08","0.08","0.08","0.08",
"86","-28.71","-23.80","-20.39","-11.71","0.08","0.08","0.08","0.08","0.08","0.08",
"87","-28.78","-23.89","-22.07","-13.35","0.08","0.08","0.08","0.08","0.08","0.08",
"88","-35.37","-25.72","-22.08","-15.64","0.08","0.08","0.08","-1.68","0.08","0.08",
"89","-36.28","-27.66","-22.47","-15.81","0.08","0.08","0.08","-2.45","0.08","0.08",
"90","-36.81","-27.86","-22.80","-15.87","0.08","-1.75","0.08","-4.07","0.08","0.08",
"91","-37.25","-28.63","-23.80","-16.61","0.08","-2.03","0.08","-4.26","0.08","0.08",
"92","-38.46","-28.87","-23.89","-17.27","0.08","-3.22","-1.75","-4.68","0.08","0.08",
"93","-38.72","-30.67","-24.71","-17.70","0.08","-4.07","-2.65","-4.92","0.08","0.08",
"94","-39.60","-31.99","-25.05","-18.20","-0.22","-4.90","-4.07","-5.18","0.08","-0.45",
"95","-41.35","-33.82","-27.41","-19.94","-0.56","-5.11","-4.26","-5.48","-0.54","-0.54",
"96","-42.01","-35.37","-28.63","-20.01","-0.88","-5.27","-4.92","-5.89","-0.62","-0.62",
"97","-42.26","-35.65","-30.31","-22.07","-2.05","-6.13","-5.11","-6.13","-0.62","-0.62",
"98","-43.01","-36.51","-31.99","-25.05","-2.06","-6.15","-5.18","-10.50","-0.62","-0.62",
"99","-43.03","-37.25","-33.52","-25.57","-5.27","-6.72","-6.13","-10.90","-1.68","-0.62",
"100","-44.39","-38.29","-33.72","-26.07","-6.13","-7.03","-7.02","-10.92","-2.13","-1.32",
